time,open,high,low,close,tick_volume,spread,real_volume
2025-01-01 00:00:00,42558.0,42575.0,42529.0,42575.0,890,100,0
2025-01-01 00:10:00,42574.0,42583.0,42550.0,42581.0,368,200,0
2025-01-01 00:20:00,42581.0,42582.0,42540.0,42546.0,254,300,0
2025-01-01 00:30:00,42546.0,42573.0,42540.0,42560.0,217,300,0
2025-01-01 00:40:00,42561.0,42563.0,42539.0,42540.0,184,300,0
2025-01-01 00:50:00,42539.0,42561.0,42534.0,42558.0,185,300,0
2025-01-02 02:00:00,42620.0,42668.0,42597.0,42646.0,375,200,0
2025-01-02 02:10:00,42644.0,42644.0,42622.0,42624.0,173,200,0
2025-01-02 02:20:00,42624.0,42624.0,42596.0,42608.0,230,200,0
2025-01-02 02:30:00,42608.0,42619.0,42538.0,42565.0,355,200,0
2025-01-02 02:40:00,42564.0,42564.0,42510.0,42522.0,322,200,0
2025-01-02 02:50:00,42523.0,42562.0,42522.0,42550.0,215,200,0
2025-01-02 03:00:00,42550.0,42551.0,42468.0,42501.0,569,200,0
2025-01-02 03:10:00,42501.0,42501.0,42392.0,42412.0,831,200,0
2025-01-02 03:20:00,42411.0,42442.0,42401.0,42435.0,527,200,0
2025-01-02 03:30:00,42435.0,42487.0,42422.0,42480.0,538,200,0
2025-01-02 03:40:00,42481.0,42548.0,42478.0,42542.0,483,200,0
2025-01-02 03:50:00,42541.0,42560.0,42532.0,42538.0,378,200,0
2025-01-02 04:00:00,42538.0,42589.0,42538.0,42566.0,613,200,0
2025-01-02 04:10:00,42565.0,42595.0,42565.0,42572.0,398,200,0
2025-01-02 04:20:00,42573.0,42600.0,42570.0,42587.0,470,200,0
2025-01-02 04:30:00,42586.0,42624.0,42571.0,42620.0,521,200,0
2025-01-02 04:40:00,42619.0,42626.0,42601.0,42606.0,328,200,0
2025-01-02 04:50:00,42606.0,42626.0,42598.0,42602.0,318,200,0
2025-01-02 05:00:00,42601.0,42618.0,42595.0,42615.0,341,200,0
2025-01-02 05:10:00,42615.0,42625.0,42609.0,42624.0,251,200,0
2025-01-02 05:20:00,42625.0,42658.0,42622.0,42647.0,303,200,0
2025-01-02 05:30:00,42648.0,42666.0,42638.0,42664.0,218,200,0
2025-01-02 05:40:00,42664.0,42674.0,42660.0,42671.0,245,200,0
2025-01-02 05:50:00,42672.0,42681.0,42660.0,42671.0,208,200,0
2025-01-02 06:00:00,42671.0,42675.0,42654.0,42658.0,157,200,0
2025-01-02 06:10:00,42659.0,42663.0,42645.0,42658.0,149,200,0
2025-01-02 06:20:00,42657.0,42688.0,42655.0,42676.0,229,200,0
2025-01-02 06:30:00,42677.0,42680.0,42663.0,42664.0,127,200,0
2025-01-02 06:40:00,42665.0,42666.0,42640.0,42647.0,243,200,0
2025-01-02 06:50:00,42646.0,42658.0,42644.0,42651.0,134,200,0
2025-01-02 07:00:00,42650.0,42661.0,42642.0,42659.0,172,200,0
2025-01-02 07:10:00,42658.0,42663.0,42645.0,42648.0,140,200,0
2025-01-02 07:20:00,42647.0,42653.0,42627.0,42647.0,261,200,0
2025-01-02 07:30:00,42647.0,42664.0,42644.0,42659.0,197,200,0
2025-01-02 07:40:00,42660.0,42669.0,42657.0,42666.0,156,200,0
2025-01-02 07:50:00,42665.0,42674.0,42663.0,42666.0,165,200,0
2025-01-02 08:00:00,42668.0,42672.0,42660.0,42664.0,155,200,0
2025-01-02 08:10:00,42664.0,42696.0,42664.0,42694.0,229,200,0
2025-01-02 08:20:00,42695.0,42699.0,42688.0,42690.0,161,200,0
2025-01-02 08:30:00,42690.0,42702.0,42681.0,42697.0,136,200,0
2025-01-02 08:40:00,42698.0,42719.0,42696.0,42719.0,176,200,0
2025-01-02 08:50:00,42719.0,42724.0,42710.0,42712.0,131,200,0
2025-01-02 09:00:00,42713.0,42717.0,42708.0,42714.0,119,200,0
2025-01-02 09:10:00,42713.0,42730.0,42711.0,42729.0,111,200,0
2025-01-02 09:20:00,42728.0,42729.0,42707.0,42713.0,148,200,0
